osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
455932907,Hornberg,,914,48.7234685,8.4617114,Q30669953,,baden-wuerttemberg
11738937492,Remmetsenberg,,914,48.281846,9.0460213,,,baden-wuerttemberg
11592719965,,,914,47.7636315,10.1990778,,,bayern-260721
13612520377,,,914,47.7937984,10.3848696,Q138827580,,bayern-260721
10274310836,Geschwend,,913,48.0009429,8.33589,,,baden-wuerttemberg
3431165499,Heidelstein Schwabenhimmel,,913,50.4617191,10.0198453,,,bayern-260721
1719314030,Jägerriegel,,913,48.828833,13.2179358,,,bayern-260721
1512928578,Kleiner Aschenstein,,913,48.8133171,13.258588,,,bayern-260721
11374525317,Mittlerer Berg,,913,48.0209891,8.7430572,,,baden-wuerttemberg
555178402,Rabenberg,,913,50.4519444,12.7547222,Q1722429,,sachsen-260721
7721732989,Schlossfelsen,,913,49.9135888,12.0683205,,,bayern-260721
12401012941,Weinberg,,913,47.5464532,10.2890313,Q131398519,,bayern-260721
11592704837,,,913,47.7686753,10.1373737,,,baden-wuerttemberg
13460735421,,,913,48.2730116,9.0661268,,,baden-wuerttemberg
11592719809,,,913,47.75842,10.16471,,,bayern-260721
269232883,Hohenkarpfen,,912,48.0411831,8.7181534,Q1623737,de:Hohenkarpfen,baden-wuerttemberg
778982566,Hörnle,,912,47.7515056,7.7892041,,,baden-wuerttemberg
1979976922,Pfeffinger Böllat,,912,48.2532424,8.9391285,Q31291851,,baden-wuerttemberg
11615094173,Ruttersberg,,912,47.6291912,10.0978783,Q130437963,,bayern-260721
11360747836,Webersberg,,912,47.6710969,10.1444578,Q130416172,,bayern-260721
288591856,Zeller Horn,,912,48.3125187,8.9800224,Q187749,de:Zeller Horn,baden-wuerttemberg
12246882843,,,912,47.4513919,10.2558244,Q138035103,,bayern-260721
12601768767,,,912,47.55458,9.8339707,,,bayern-260721
1629346238,Hochplatte,,911,47.7100922,12.9042236,Q1621994,,bayern-260721
11374525319,Steinbühl,,911,48.0329254,8.7559615,,,baden-wuerttemberg
13409238828,,,911,48.2741624,9.0798172,Q137796699,,baden-wuerttemberg
